code,section,year,day,start,end,room,instructor
MATH101,,1,Sal,10:30,12:20,A307,
MATH101,,1,Per,10:30,12:20,B413,
PHYS101,,1,Çar,09:30,12:20,C403,
CE101,,1,Cum,10:30,12:20,DB412,
CE103,,1,Per,12:30,15:20,CZ04,
ENG103,,1,Sal,13:30,15:20,Online,
CHEM101,,1,Çar,13:30,16:20,A315,
PHYS103,,1,Cum,13:30,15:20,AB318,
TIT101,,1,Per,15:30,17:20,Online,
TDL101,,1,Sal,16:30,18:20,Online,
MATH201,,2,Pzt,10:30,12:20,B515,
MATH201,,2,Pzt,13:30,15:20,B515,
CE201,,2,Per,09:30,11:20,A422,
CE201,,2,Per,13:30,14:20,C503,
CE203,,2,Sal,13:30,16:20,A414,
CE205,,2,Çar,13:30,16:20,A307,
ENG201,,2,Per,14:30,17:20,C503,
CE307,,3,Sal,08:30,12:20,C503,
CE331,,3,Çar,09:30,12:20,DB412,
CE309,,3,Per,10:30,13:20,A414,
CE301,,3,Çar,13:30,16:20,A222,
CE311,,3,Per,13:30,16:20,A315,
CE315,,3,Cum,09:30,12:20,AB210 (Lab),
CE315,,3,Cum,14:30,17:20,A414,
CE493,,4,Pzt,08:30,11:20,C406,
CE427,,4,Pzt,09:30,12:20,C506,
CE431,,4,Pzt,12:30,16:20,C406,
CE491,,4,Pzt,13:30,16:20,C501,
CE457,,4,Sal,08:30,11:20,C406,
CE454,,4,Sal,11:30,14:20,C406,
CE425,,4,Sal,14:30,17:20,C406,
CE406,,4,Sal,13:30,16:20,A315,
CE441,,4,Çar,08:30,11:20,C503,
CE411,,4,Çar,11:30,14:20,C501,
CE471,,4,Çar,14:30,17:20,C503,
CE481,,4,Per,09:30,12:20,C503,
CE421,,4,Per,13:30,16:20,A207,
CE455,,4,Cum,08:30,11:20,C501,
CE410,,4,Cum,11:30,14:20,C503,
CE487,,4,Cum,14:30,17:20,C503,
