code,section,year,day,start,end,room,instructor
TDL101,,1,Pzt,10:30,12:20,Online,
PHYS104,,1,Pzt,13:30,16:20,LAB,
TIT101,,1,Pzt,21:30,23:20,Uygulama (Online),
TIT101,,1,Per,14:30,16:20,Online,
MATH101,,1,Sal,10:30,12:20,B413,
MATH101,,1,Çar,10:30,12:20,B515,
BIO101,,1,Sal,14:30,17:20,CZ08,
CENG113,,1,Çar,13:30,17:20,LAB,
CENG113,,1,Per,14:30,17:20,DB412,
CENG101,,1,Per,12:30,14:20,AMFİ 1 (-2),
CENG114,,1,Per,11:30,14:20,C507,
CENG114,,1,Cum,08:30,10:20,LAB,
ENG103,,1,Cum,10:30,12:20,Online,
PHYS101,,1,Cum,14:00,16:50,B413,
MATH201,,2,Pzt,13:30,15:20,B413,
MATH201,,2,Sal,13:30,15:20,A307,
CENG203,,2,Sal,08:30,11:20,CZ08,
CENG201,,2,Per,08:30,11:20,DB412,
CENG209,,2,Cum,09:30,12:20,B413,
CENG207,,2,Cum,13:30,16:20,DB412,
CENG305,,3,Pzt,09:30,12:20,DB412,
CENG303,,3,Pzt,14:30,17:20,DB412,
CENG327,,3,Sal,11:30,14:20,CZ08,
CENG315,,3,Sal,14:30,17:20,A222,
CENG347,,3,Çar,08:30,11:20,C502,
CENG301,,3,Per,13:30,16:20,C413,
CENG443,,4,Pzt,09:30,12:20,A222,
CENG442,,4,Sal,08:30,11:20,C507,
CENG403,,4,Sal,11:30,14:20,C507,
CENG407,,4,Sal,14:30,17:20,C507,
CENG431,,4,Çar,09:30,12:20,C507,
CENG463,,4,Çar,13:30,16:20,C507,
CENG434,,4,Per,08:30,11:20,C507,
CENG469,,4,Per,14:30,17:20,C507,
CENG441,,4,Cum,09:30,12:20,C507,
CENG462,,4,Cum,13:30,16:20,C507,
