code,section,year,day,start,end,room,instructor
EE101,,1,Sal,08:30,10:20,A307-308,Dr. Öğr. Üyesi Özgün Ersoy
PHYS101,,1,Pzt,09:30,12:20,A307,Dr. Öğr. Üyesi Melike Ayaz
MATH101,,1,Sal,10:30,12:20,A414,Dr. Öğr. Üyesi Mahmut Can Bozyiğit
MATH101,,1,Çar,10:30,12:20,A414,
TDL101,,1,Sal,12:30,14:20,Online,Öğr. Gör. Dr. Zehra Kum
CENG115,,1,Çar,12:30,15:20,A307-308,Dr. Öğr. Üyesi Ali Değirmenci
CENG115,,1,Çar,15:30,17:20,A307-308 (Uygulama),
ENG103,,1,Cum,08:30,10:20,Online,
CHEM101,,1,Per,13:30,16:20,A414,Doç. Dr. Kuroş Salimi
PHYS103,,1,Cum,16:30,18:20,LAB,Dr. Öğr. Üyesi Melike Ayaz
TIT101,,1,Per,19:30,21:20,Online,Dr. Öğr. Üyesi Arzu Erman
EE215,,2,Sal,08:30,11:20,C111-112,Dr. Öğr. Üyesi İrfan Alp Gürkaynak
EE213,,2,Sal,11:30,12:20,C111-112,Dr. Öğr. Üyesi A. Erkam Gündüz
EE213,,2,Cum,09:30,12:20,CZ08-CZ09,
EE225,,2,Pzt,10:30,12:20,CB214,
EE207,,2,Per,08:30,11:20,DB-206,Dr. Öğr. Üyesi Osman Tokluoğlu
EE223,,2,Pzt,13:30,15:20,CB212,
MATH201,,2,Per,13:30,15:20,CZ08,Dr. Elif Altınay Özaslan
MATH201,,2,Cum,13:30,15:20,B515,
EE325,,3,Pzt,09:30,12:20,DB-206,Dr. Öğr. Üyesi Ahmad Salmanogli
EE307,,3,Pzt,13:30,16:20,A307-308,Dr. Öğr. Üyesi Özgün Ersoy
EE303,,3,Pzt,16:30,17:20,DB-206,Dr. Öğr. Üyesi Murat Can Karakoç
EE303,,3,Per,15:30,17:20,DB-206,
EE319,,3,Çar,09:30,12:20,DB-206,Dr. Öğr. Üyesi Yunus Yalman
EE329,,3,Çar,12:30,14:20,CB417,
EE335,,3,Çar,15:30,17:20,CB212,
EE407,,4,Pzt,10:30,12:20,C502,Prof. Dr. İlyas Çankaya
EE416,,4,Pzt,13:30,16:20,A207-208,Dr. Öğr. Üyesi Ahmad Salmanogli
EE461,,4,Sal,08:30,11:20,A207-208,Prof. Dr. Ahmet Karaarslan
EE432,,4,Sal,09:30,12:20,C502,Prof. Dr. Serdar Özyurt
EE408,,4,Sal,13:30,16:20,A207-208,Doç. Dr. Halit Ergezer
EE403,,4,Çar,08:30,11:20,A207-208,Prof. Dr. Hüseyin Canbolat
EE423,,4,Çar,11:30,14:20,A207-208,Prof. Dr. Ömer Karal
EE421,,4,Çar,11:30,14:20,C502,Prof. Dr. Şerafettin Erel
EE455,,4,Çar,14:30,17:20,A207-208,Prof. Dr. Ömer Karal
EE463,,4,Çar,15:30,18:20,C502,Prof. Dr. K. Çağatay Bayındır
EE409,,4,Per,13:30,16:20,C502,Dr. Öğr. Üyesi G. Koray Gültekin
EE424,,4,Cum,14:30,17:20,A303-304,Prof. Dr. Enver Çavuş
EE450,,4,Cum,14:30,17:20,C502,Dr. Öğr. Üyesi A. Erkam Gündüz
