code,type,ects
ENG103,Zorunlu,2
MATH101,Zorunlu,6
IE103,Zorunlu,2
CHEM101,Zorunlu,5
CENG103,Zorunlu,5
PHYS101,Zorunlu,4
PHYS103,Zorunlu,2
TIT101,Zorunlu,2
TDL101,Zorunlu,2
ENG104,Zorunlu,2
MATH104,Zorunlu,6
MATH102,Zorunlu,6
IE104,Zorunlu,6
PHYS102,Zorunlu,4
PHYS104,Zorunlu,2
TDL102,Zorunlu,2
TIT102,Zorunlu,2
MATH201,Zorunlu,6
IE231,Zorunlu,4
IE211,Zorunlu,6
IE253,Zorunlu,3
ENGR265,Zorunlu,3
IE221,Zorunlu,4
IE233,Zorunlu,4
IE232,Zorunlu,4
IE256,Zorunlu,5
IE262,Zorunlu,4
IE214,Zorunlu,6
IE222,Zorunlu,4
IE254,Zorunlu,4
ENGR266,Zorunlu,3
IE363,Zorunlu,4
IE341,Zorunlu,4
IE331,Zorunlu,4
IE319,Zorunlu,5
IE351,Zorunlu,5
IE300,Zorunlu,4
IE362,Zorunlu,5
IE372,Zorunlu,5
IE352,Zorunlu,6
IE374,Zorunlu,5
IE354,Zorunlu,5
IE400,Zorunlu,4
IE491,Zorunlu,6
IE492,Zorunlu,6
ENGR450,Seçmeli,15
