code,section,year,day,start,end,room,instructor
MATH115,,1,Pzt,08:30,10:20,A218,
MATH115,,1,Sal,08:30,09:20,A218,
MATH111,,1,Çar,08:30,10:20,A414,
MATH111,,1,Pzt,13:30,15:20,A414,
MATH111,,1,Per,13:30,15:20,A422 (Uygulama),
PHYS101,,1,Sal,09:30,12:20,DB412,
ENG103,,1,Çar,12:00,13:50,Online,
TDL101,,1,Sal,14:30,16:20,Online,
MATH113,,1,Sal,16:30,17:20,B413,
MATH113,,1,Per,15:30,17:20,A422,
TIT101,,1,Çar,17:30,19:20,Online,
MATH211,,2,Pzt,10:30,12:20,A218,
MATH211,,2,Sal,10:30,12:20,A218,
MATH211,,2,Çar,10:30,12:20,A218 (Uygulama),
MATH217,,2,Per,09:30,12:20,C510,
MATH215,,2,Cum,09:30,12:20,C510,
MATH213,,2,Sal,13:30,15:20,A218,
MATH213,,2,Çar,13:30,15:20,C403,
MATH321,,3,Pzt,08:30,10:20,C510,
MATH321,,3,Per,09:30,10:20,A218,
MATH313,,3,Çar,08:30,10:20,C510,
MATH313,,3,Sal,15:30,17:20,A218,
CENG103,,3,Çar,10:30,12:20,C510,
CENG103,,3,Pzt,14:30,17:20,A218,
MATH317,,3,Per,10:30,12:20,A218,
MATH317,,3,Çar,13:30,15:20,A218,
MATH315,,3,Cum,09:30,12:20,A218,
MATH315,,3,Pzt,13:30,14:20,A218,
MATH323,,3,Sal,13:30,15:20,C510,
MATH323,,3,Çar,15:30,16:20,C403,
MATH425,,4,Per,08:30,09:20,C510,
MATH425,,4,Pzt,10:30,12:20,C510,
MATH415,,4,Sal,09:30,12:20,C510,
MATH423,,4,Per,13:30,17:20,A218,
