code,section,year,day,start,end,room,instructor
MATH101,,1,Pzt,10:30,12:20,CZ08,Dr. Sevda Javanshir
MATH101,,1,Çar,10:30,12:20,CZ08,
PHYS103,,1,Pzt,13:30,15:20,AB318,Dr. Öğr. Üyesi Edigar Muchuweni
TDL101,,1,Sal,10:30,12:20,Online,Zehra Kum
MCE103,1,1,Sal,13:30,15:20,CZ03,Dr. Öğr. Üyesi Necati Uçak
MCE103,1,1,Cum,13:30,15:20,CZ03,
MCE103,2,1,Sal,15:30,17:20,CZ03,Dr. Öğr. Üyesi Necati Uçak
MCE103,2,1,Cum,15:30,17:20,CZ03,
MCE101,,1,Çar,08:30,10:20,CZ08,Doç. Dr. Yasin Sarıkavak
CHEM101,,1,Çar,13:30,16:20,B412,Dr. Öğr. Üyesi Ahmet Çelik
PHYS101,,1,Per,09:30,12:20,CZ08,Dr. Öğr. Üyesi Edigar Muchuweni
TIT101,,1,Per,12:30,14:20,Online,Arzu Erman
ENG103,,1,Cum,09:00,10:50,Online,
MCE209,,2,Pzt,13:30,16:20,CZ08,Prof. Dr. Adem Çiçek
ENG201,,2,Sal,12:30,15:20,DB412,Doç. Dr. Mete Bakır
ENGR201,,2,Sal,16:00,17:50,DB412,Doç. Dr. Kemal Bilen
ENGR201,,2,Per,09:30,12:20,A307,
MCE205,,2,Çar,14:30,17:20,DB206,Doç. Dr. Barış Kalaycıoğlu
MCE203,,2,Per,12:30,15:20,C111,Prof. Dr. Selahattin Çelik
MCE201,,2,Cum,14:30,17:20,C403,Doç. Dr. Yasin Sarıkavak
MCE305,,3,Pzt,10:30,12:20,C111,Doç. Dr. Barış Kalaycıoğlu
MCE305,,3,Cum,13:30,15:20,DB412,
MCE303,,3,Pzt,13:30,15:20,C111,Dr. Öğr. Üyesi Polat Kurt
MCE307,,3,Pzt,15:30,17:20,B413,Prof. Dr. Kamil Arslan
MCE307,,3,Per,15:30,17:20,A307,
MCE309,,3,Sal,14:30,17:20,A422,Dr. Öğr. Üyesi Polat Kurt
MCE301,,3,Per,11:30,14:20,C403,Prof. Dr. Hasan Özcan
MCE311,,3,Cum,09:30,11:20,A315,Prof. Dr. Hasan Özcan
MCE443,,4,Pzt,13:30,16:20,CZ03,Doç. Dr. Barış Kalaycıoğlu
MCE438,,4,Pzt,14:30,17:20,CZ04,Dr. Öğr. Üyesi Necati Uçak
MCE423,,4,Sal,09:30,12:20,C506,Doç. Dr. Kemal Bilen
MCE495,,4,Sal,09:30,12:20,CZ04,Dr. Öğr. Üyesi Oğuzhan Mülkoğlu
MCE452,,4,Sal,14:00,16:50,C506,Prof. Dr. Sadettin Orhan
MCE403,,4,Çar,09:00,11:50,Lab,Oğuzhan Mülkoğlu
MCE429,,4,Per,08:30,11:20,C502,Prof. Dr. Selahattin Çelik
MCE479,,4,Per,09:30,12:20,CZ03,Prof. Dr. Mehmet Sunar
MCE433,,4,Per,15:30,18:20,CZ04,Prof. Dr. Mehmet Sunar
MCE413,,4,Cum,09:30,12:20,B310,Prof. Dr. Ünal Çamdalı
MCE405,,4,Cum,14:00,16:50,C506,Prof. Dr. Ahmet Pınarbaşı
MCE451,,4,Cum,14:00,16:50,B310,Dr. Öğr. Üyesi Polat Kurt
