code,section,year,day,start,end,room,instructor
MATH101,,1,Pzt,08:30,10:20,B515,
MATH101,,1,Çar,08:30,10:20,B515,
TDL101,,1,Pzt,12:30,14:20,Online,
ENG103,,1,Sal,10:30,12:20,Online,
CHEM101,,1,Sal,13:30,16:20,C503,
TIT101,,1,Sal,17:30,19:20,Online,
PHYS101,,1,Çar,13:30,16:20,A422,
MSE101,,1,Per,08:30,10:20,A315,
PHYS103,,1,Per,13:30,15:20,AB318,
MSE103,1,1,Cum,08:30,11:20,CZ04,
MSE103,2,1,Cum,14:00,17:20,CZ04,
MSE201,,2,Pzt,10:30,12:20,B413,
MSE201,,2,Per,10:30,12:20,A315,
MATH201,,2,Sal,13:30,15:20,B413,
MATH201,,2,Per,13:30,15:20,A307,
ENG201,,2,Çar,08:30,11:20,C111,
MSE203,,2,Cum,08:30,11:20,B515,
MSE211,,2,Cum,14:00,17:20,A315,
MSE311,,3,Pzt,08:30,10:20,A319,
MSE311,,3,Sal,08:30,10:20,A319,
MSE303,,3,Pzt,13:30,16:20,A319,
MSE309,,3,Sal,13:30,16:20,A319,
MSE355,,3,Çar,08:30,11:20,C506,
MSE317,,3,Çar,13:30,16:20,C111,
MSE301,1,3,Per,09:30,12:20,DB417,
MSE301,2,3,Per,13:30,16:20,DB417,
MSE370,,3,Cum,08:30,11:20,A319,
MSE361,,3,Cum,14:00,17:20,A319,
MSE415,,4,Pzt,08:30,11:20,C507,
MSE417,,4,Pzt,13:30,16:20,C507,
MSE411,,4,Sal,10:30,12:20,A319,
MSE413,,4,Sal,13:30,16:20,C502,
MSE403,,4,Çar,08:30,11:20,A319,
MSE437,,4,Çar,13:30,16:20,A319,
MSE401,,4,Per,08:30,11:20,A319,
MSE431,,4,Per,13:30,16:20,C501,
ENGR450,,4,Cum,08:30,13:20,Saha,
