code,section,year,day,start,end,room,instructor
SENG113,,1,Pzt,09:30,12:20,A414-415,
CHEM101,,1,Pzt,13:30,16:20,A222-223,
TDL101,,1,Pzt,16:30,18:20,AYBUZEM (Online),
PHYS101,,1,Sal,09:30,12:20,A222-223,
MATH101,,1,Sal,13:30,15:20,C111-112,
MATH101,,1,Per,10:30,12:20,C111-112,
TIT101,,1,Sal,19:30,21:20,AYBUZEM (Online),
SENG101,,1,Çar,10:30,12:20,A222-223,
ENG103,,1,Per,15:30,17:20,AYBUZEM (Online),
SENG113-LAB,1,1,Sal,15:30,17:20,AB417,
SENG113-LAB,2-3,1,Per,13:30,15:20,AB310-AB417,
PHYS103,1,1,Cum,16:00,16:50,AB318,
PHYS103,2,1,Cum,17:00,17:50,AB318,
SENG207,,2,Pzt,09:30,12:20,C503-504,
SENG201,,2,Sal,09:30,12:20,A315-316,
SENG209,,2,Çar,09:30,12:20,A315-316,
SENG211,,2,Çar,15:30,18:20,CZ08-09,
SENG201-LAB,1-2,2,Per,09:30,11:20,AB310-AB417,
MATH201,,2,Per,11:30,14:20,A222-223,
MATH201,,2,Per,14:30,15:20,A303-304,
SENG301,,3,Sal,10:30,13:20,A303-304,
SENG301-LAB,1,3,Sal,14:00,15:50,AB310,
SENG301-LAB,2,3,Sal,16:00,17:50,AB310,
SENG303,,3,Çar,09:30,12:20,A303-304,
SENG314,,3,Per,08:30,11:20,A222-223,
SENG305,,3,Per,14:30,17:20,A222-223,
SENG319,,3,Cum,10:30,13:20,A303-304,
SENG425,,4,Pzt,10:30,13:20,A315-316,
SENG433,,4,Çar,14:30,17:20,A303-304,
SENG435,,4,Per,08:30,11:20,A303-304,
SENG423,,4,Per,11:30,14:20,A303-304,
